Data_description,
Input5,Base Distance For Rake Angle Measurement,
Input7,Wheel Diameter,
Input8,Profile Angle,
Input11,Rake Angle,
Input12,Circular Land,
Input13,Small Core Diameter,
Output0,Wheel Setting Angle,
Output1,Minimum Wheel Width,
Output2,Wheel Displacement,
Output3,Distance Between Axes,
Data begin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD53,0.060044,16.003092,3.000000,0.200000,0.141734,0.599923,1.143100,0.523773,-1.466564,8.038397,
TD54,0.060018,15.759421,3.000000,0.200000,0.139576,0.600051,1.144433,0.525822,-1.440046,7.923233,
TD55,0.060008,15.526941,3.000000,0.200000,0.137517,0.599950,1.145667,0.527566,-1.414927,7.813227,
TD56,0.059955,15.417080,3.000000,0.200000,0.136544,0.600050,1.146267,0.528426,-1.403054,7.761296,
TD57,0.059983,15.203819,3.000000,0.200000,0.134655,0.599951,1.147400,0.530175,-1.380095,7.660301,
TD58,0.060039,15.003624,3.000000,0.200000,0.132882,0.600024,1.148500,0.531650,-1.358662,7.565475,
TD59,0.059995,14.813931,3.000000,0.200000,0.131202,0.599952,1.149533,0.533158,-1.338502,7.475429,
TD60,0.059981,14.635871,3.000000,0.200000,0.129625,0.600047,1.150500,0.534645,-1.319467,7.390997,
TD61,0.059988,14.467094,3.000000,0.200000,0.128130,0.600000,1.151433,0.535935,-1.301573,7.310891,
TD62,0.060016,14.307107,3.000000,0.200000,0.126714,0.600046,1.152333,0.537150,-1.284760,7.234996,
TD63,0.059950,14.155459,3.000000,0.200000,0.125370,0.599954,1.153167,0.538295,-1.268749,7.162868,
TD64,0.060025,14.013314,3.000000,0.200000,0.124111,0.600023,1.153933,0.539434,-1.253864,7.095340,
TD65,0.059956,13.815350,3.000000,0.200000,0.122358,0.600000,1.155067,0.541046,-1.233037,7.001224,
TD66,0.059971,13.691985,3.000000,0.200000,0.121266,0.599934,1.155767,0.541947,-1.220262,6.942564,
TD67,0.059989,13.522047,3.000000,0.200000,0.119760,0.600000,1.156733,0.543277,-1.202504,6.861622,
TD68,0.059948,13.415424,3.000000,0.200000,0.118816,0.600022,1.157333,0.544070,-1.191510,6.810866,
TD69,0.060043,13.269231,3.000000,0.200000,0.117521,0.600000,1.158167,0.545192,-1.176389,6.741239,
TD70,0.059968,13.135907,3.000000,0.200000,0.116341,0.600000,1.158933,0.546272,-1.162559,6.677737,
TD71,0.059985,12.979413,3.000000,0.200000,0.114955,0.599958,1.159833,0.547497,-1.146515,6.603093,
TD72,0.059979,12.843847,3.000000,0.200000,0.113754,0.600000,1.160633,0.548501,-1.132575,6.538469,
TD73,0.059951,12.728018,3.000000,0.200000,0.112728,0.600020,1.161300,0.549395,-1.120721,6.483193,
TD74,0.060016,12.591241,3.000000,0.200000,0.111517,0.599959,1.162100,0.550385,-1.106752,6.417883,
TD75,0.059952,12.472384,3.000000,0.200000,0.110464,0.600020,1.162800,0.551316,-1.094698,6.361217,
TD76,0.060018,24.622961,3.000000,0.200000,0.400123,0.600185,0.880333,0.291167,-2.819945,11.371191,
