Data_description,
Input5,Base Distance For Rake Angle Measurement,
Input7,Wheel Diameter,
Input8,Profile Angle,
Input11,Rake Angle,
Input12,Circular Land,
Input13,Small Core Diameter,
Output0,Wheel Setting Angle,
Output1,Minimum Wheel Width,
Output2,Wheel Displacement,
Output3,Distance Between Axes,
Data begin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD2814,0.060029,22.730600,3.000000,0.666667,0.201318,0.599927,0.912400,0.492496,-1.315520,11.409224,
TD2815,0.059989,22.374347,3.000000,0.666667,0.198162,0.599892,0.913667,0.494866,-1.288597,11.238696,
TD2816,0.059955,21.709491,3.000000,0.666667,0.192274,0.600070,0.916033,0.499563,-1.238595,10.920468,
TD2817,0.059948,21.395349,3.000000,0.666667,0.189492,0.600000,0.917167,0.501809,-1.215159,10.769854,
TD2818,0.059952,21.093750,3.000000,0.666667,0.186821,0.600034,0.918200,0.503906,-1.192765,10.625170,
TD2819,0.059956,20.800536,3.000000,0.666667,0.184224,0.599900,0.919233,0.505945,-1.171161,10.484341,
TD2820,0.059980,20.522141,3.000000,0.666667,0.181758,0.599967,0.920200,0.507931,-1.150694,10.350793,
TD2821,0.060035,19.990343,3.000000,0.666667,0.177048,0.600032,0.922067,0.511669,-1.111862,10.095123,
TD2822,0.060076,19.739352,3.000000,0.666667,0.174825,0.599968,0.922933,0.513350,-1.093770,9.974253,
TD2823,0.059969,19.497645,3.000000,0.666667,0.172684,0.600000,0.923767,0.515071,-1.076295,9.858085,
TD2824,0.059933,19.037400,3.000000,0.666667,0.168608,0.599939,0.925367,0.518240,-1.043225,9.636419,
TD2825,0.060000,18.818182,3.000000,0.666667,0.166667,0.600000,0.926100,0.519848,-1.027576,9.530758,
TD2826,0.059925,18.606742,3.000000,0.666667,0.164794,0.600000,0.926833,0.521348,-1.012584,9.428764,
TD2827,0.059953,18.205805,3.000000,0.666667,0.161243,0.599971,0.928233,0.524186,-0.984169,9.235415,
TD2828,0.060052,18.015666,3.000000,0.666667,0.159559,0.600087,0.928900,0.525529,-0.970699,9.143603,
TD2829,0.060006,17.829457,3.000000,0.666667,0.157910,0.600057,0.929533,0.526701,-0.957651,9.053689,
TD2830,0.059941,17.475728,3.000000,0.666667,0.154777,0.599972,0.930733,0.529197,-0.933024,8.882792,
TD2831,0.060061,17.307692,3.000000,0.666667,0.153289,0.600056,0.931333,0.530379,-0.921265,8.801561,
TD2832,0.060038,16.985777,3.000000,0.666667,0.150438,0.599973,0.932433,0.532686,-0.898933,8.645925,
TD2833,0.060043,16.833830,3.000000,0.666667,0.149092,0.600027,0.932967,0.533749,-0.888452,8.572513,
TD2834,0.060061,16.540152,3.000000,0.666667,0.146491,0.599947,0.934000,0.535757,-0.868291,8.430284,
TD2835,0.059950,16.400370,3.000000,0.666667,0.145253,0.600026,0.934500,0.536775,-0.858709,8.362736,
TD2836,0.060008,16.131965,3.000000,0.666667,0.142876,0.599948,0.935433,0.538641,-0.840369,8.232758,
TD2837,0.060044,16.003092,3.000000,0.666667,0.141734,0.599923,0.935867,0.539492,-0.831723,8.170210,
TD2838,0.060018,15.759421,3.000000,0.666667,0.139576,0.600051,0.936733,0.541302,-0.815125,8.052278,
TD2839,0.060008,15.526941,3.000000,0.666667,0.137517,0.599950,0.937567,0.542818,-0.799475,7.939492,
TD2840,0.059955,15.417080,3.000000,0.666667,0.136544,0.600050,0.937967,0.543694,-0.792080,7.886296,
TD2841,0.059983,15.203819,3.000000,0.666667,0.134655,0.599951,0.938700,0.545110,-0.777696,7.782715,
TD2842,0.060039,15.003624,3.000000,0.666667,0.132882,0.600024,0.939433,0.546509,-0.764315,7.685673,
TD2843,0.059995,14.813931,3.000000,0.666667,0.131202,0.599952,0.940100,0.547829,-0.751789,7.593511,
TD2844,0.059981,14.635871,3.000000,0.666667,0.129625,0.600047,0.940767,0.549140,-0.739925,7.507188,
TD2845,0.059988,14.467094,3.000000,0.666667,0.128130,0.600000,0.941367,0.550379,-0.728713,7.425160,
TD2846,0.060016,14.307107,3.000000,0.666667,0.126714,0.600046,0.941967,0.551434,-0.718120,7.347425,
TD2847,0.059950,14.155459,3.000000,0.666667,0.125370,0.599954,0.942500,0.552428,-0.708229,7.273763,
TD2848,0.060025,14.013314,3.000000,0.666667,0.124111,0.600023,0.943033,0.553424,-0.698860,7.204671,
TD2849,0.059956,13.815350,3.000000,0.666667,0.122358,0.600000,0.943767,0.554839,-0.685873,7.108454,
TD2850,0.059971,13.691985,3.000000,0.666667,0.121266,0.599934,0.944233,0.555727,-0.677875,7.048396,
TD2851,0.059989,13.522047,3.000000,0.666667,0.119760,0.600000,0.944867,0.556886,-0.666739,6.965814,
TD2852,0.059948,13.415424,3.000000,0.666667,0.118816,0.600022,0.945267,0.557572,-0.659862,6.913912,
TD2853,0.060043,13.269231,3.000000,0.666667,0.117521,0.600000,0.945833,0.558654,-0.650321,6.842735,
TD2854,0.059968,13.135907,3.000000,0.666667,0.116341,0.600000,0.946333,0.559492,-0.641777,6.777895,
TD2855,0.059985,12.979413,3.000000,0.666667,0.114955,0.599958,0.946933,0.560665,-0.631623,6.701641,
TD2856,0.059979,12.843847,3.000000,0.666667,0.113754,0.600000,0.947467,0.561531,-0.622958,6.635677,
TD2857,0.059951,12.728018,3.000000,0.666667,0.112728,0.600020,0.947900,0.562308,-0.615495,6.579217,
TD2858,0.060016,12.591241,3.000000,0.666667,0.111517,0.599959,0.948433,0.563260,-0.606752,6.512571,
TD2859,0.059952,12.472384,3.000000,0.666667,0.110464,0.600020,0.948900,0.564170,-0.599116,6.454710,
TD2860,0.059944,37.174721,3.000000,0.666667,0.511152,0.599907,0.643867,0.272305,-2.669610,17.443309,
TD2861,0.060044,35.320088,3.000000,0.666667,0.485651,0.600000,0.685167,0.287417,-2.583223,16.716556,
TD2862,0.060135,33.641716,3.000000,0.666667,0.462574,0.600084,0.717633,0.301934,-2.475610,16.038688,
TD2863,0.059839,32.128514,3.000000,0.666667,0.441767,0.600000,0.743633,0.315261,-2.362249,15.412450,
TD2864,0.059977,30.757401,3.000000,0.666667,0.422914,0.599769,0.764800,0.327951,-2.249135,14.833910,
TD2865,0.060125,29.509406,3.000000,0.666667,0.405754,0.599779,0.782367,0.339727,-2.140907,14.298783,
TD2866,0.059929,28.368794,3.000000,0.666667,0.390071,0.600000,0.797100,0.350709,-2.038652,13.802837,
TD2867,0.060089,27.313076,3.000000,0.666667,0.375555,0.599863,0.809633,0.360874,-1.942301,13.337658,
TD2868,0.059947,26.350461,3.000000,0.666667,0.362319,0.600132,0.820433,0.370224,-1.853755,12.910079,
TD2869,0.060134,25.453388,3.000000,0.666667,0.349984,0.600064,0.829800,0.379255,-1.770920,12.507795,
TD2870,0.060018,24.622961,3.000000,0.666667,0.338566,0.600185,0.838033,0.387504,-1.694675,12.132964,
TD2871,0.059928,23.852117,3.000000,0.666667,0.327967,0.600179,0.845300,0.395349,-1.623733,11.782648,
TD2872,0.060133,23.128072,3.000000,0.666667,0.318011,0.599884,0.851767,0.402718,-1.557965,11.451576,
TD2873,0.060062,22.452989,3.000000,0.666667,0.308729,0.600056,0.857567,0.409486,-1.496772,11.141454,
TD2874,0.060027,21.828104,3.000000,0.666667,0.300136,0.600000,0.862800,0.416098,-1.440655,10.853479,
TD2875,0.059995,21.237059,3.000000,0.666667,0.292010,0.599947,0.867567,0.422352,-1.387842,10.579772,
TD2876,0.059964,20.677178,3.000000,0.666667,0.284311,0.599897,0.871900,0.428018,-1.338589,10.319721,
TD2877,0.059965,20.156211,3.000000,0.666667,0.277148,0.599899,0.875867,0.433359,-1.292769,10.076846,
TD2878,0.059966,19.660850,3.000000,0.666667,0.270337,0.599902,0.879500,0.438683,-1.249939,9.845417,
TD2879,0.059995,19.198464,3.000000,0.666667,0.263979,0.599952,0.882867,0.443485,-1.209983,9.628990,
TD2880,0.060023,18.757327,3.000000,0.666667,0.257913,0.600000,0.886000,0.448066,-1.172333,9.421805,
TD2881,0.060064,18.340211,3.000000,0.666667,0.252178,0.599954,0.888900,0.452545,-1.136864,9.225585,
TD2882,0.060103,17.941242,3.000000,0.666667,0.246692,0.599910,0.891600,0.456605,-1.103611,9.037228,
TD2883,0.059947,17.566974,3.000000,0.666667,0.241546,0.600132,0.894133,0.460694,-1.072244,8.860562,
TD2884,0.060089,16.866962,3.000000,0.666667,0.231921,0.600042,0.898767,0.468058,-1.014548,8.529201,
TD2885,0.059967,16.542597,3.000000,0.666667,0.227461,0.599876,0.900867,0.471464,-0.988213,8.375310,
TD2886,0.060065,16.233766,3.000000,0.666667,0.223214,0.600041,0.902833,0.474838,-0.963271,8.228490,
TD2887,0.059972,15.939430,3.000000,0.666667,0.219167,0.600120,0.904733,0.477984,-0.939430,8.088663,
TD2888,0.060078,15.655577,3.000000,0.666667,0.215264,0.600000,0.906500,0.481018,-0.916830,7.953425,
TD2889,0.060000,15.384615,3.000000,0.666667,0.211538,0.600000,0.908200,0.483846,-0.895385,7.824231,
TD2890,0.059936,15.125733,3.000000,0.666667,0.207979,0.599924,0.909833,0.486670,-0.875024,7.700700,
TD2891,0.060071,14.878185,3.000000,0.666667,0.204575,0.599963,0.911367,0.489306,-0.855496,7.582481,
TD2892,0.060029,14.641288,3.000000,0.666667,0.201318,0.599927,0.912833,0.491947,-0.836933,7.469253,
TD2893,0.059989,14.411818,3.000000,0.666667,0.198162,0.599892,0.914233,0.494325,-0.819312,7.359395,
TD2894,0.059955,13.983569,3.000000,0.666667,0.192274,0.600070,0.916867,0.498864,-0.786226,7.154169,
TD2895,0.059948,13.781223,3.000000,0.666667,0.189492,0.600000,0.918100,0.501120,-0.770715,7.057192,
TD2896,0.059952,13.586957,3.000000,0.666667,0.186821,0.600034,0.919267,0.503227,-0.755944,6.963995,
TD2897,0.059956,13.398091,3.000000,0.666667,0.184224,0.599900,0.920433,0.505108,-0.741752,6.873221,
TD2898,0.059980,13.218771,3.000000,0.666667,0.181758,0.599967,0.921533,0.507105,-0.728189,6.787178,
TD2899,0.060035,12.876227,3.000000,0.666667,0.177048,0.600032,0.923600,0.510703,-0.702559,6.622405,
TD2900,0.060076,12.714558,3.000000,0.666667,0.174825,0.599968,0.924567,0.512397,-0.690559,6.544501,
TD2901,0.059969,12.558870,3.000000,0.666667,0.172684,0.600000,0.925533,0.514129,-0.678964,6.469545,
TD2902,0.059933,12.262416,3.000000,0.666667,0.168608,0.599939,0.927333,0.517321,-0.657112,6.326793,
TD2903,0.060000,12.121212,3.000000,0.666667,0.166667,0.600000,0.928167,0.518788,-0.646818,6.258636,
TD2904,0.059925,11.985019,3.000000,0.666667,0.164794,0.600000,0.929000,0.520300,-0.636854,6.192959,
TD2905,0.059953,11.726766,3.000000,0.666667,0.161243,0.599971,0.930600,0.523014,-0.618147,6.068308,
TD2906,0.060052,11.604294,3.000000,0.666667,0.159559,0.600087,0.931333,0.524369,-0.609225,6.009138,
TD2907,0.060006,11.484353,3.000000,0.666667,0.157910,0.600057,0.932067,0.525696,-0.600632,5.951192,
TD2908,0.059941,11.256508,3.000000,0.666667,0.154777,0.599972,0.933500,0.528071,-0.584213,5.841002,
TD2909,0.060061,11.148272,3.000000,0.666667,0.153289,0.600056,0.934167,0.529264,-0.576505,5.788601,
TD2910,0.060038,10.940919,3.000000,0.666667,0.150438,0.599973,0.935433,0.531455,-0.561816,5.688321,
TD2911,0.060043,10.843047,3.000000,0.666667,0.149092,0.600027,0.936067,0.532529,-0.554757,5.640960,
TD2912,0.060061,10.653882,3.000000,0.666667,0.146491,0.599947,0.937233,0.534559,-0.541484,5.549341,
TD2913,0.059950,10.563845,3.000000,0.666667,0.145253,0.600026,0.937800,0.535587,-0.535059,5.505744,
TD2914,0.060008,10.390960,3.000000,0.666667,0.142876,0.599948,0.938900,0.537343,-0.522925,5.421873,
TD2915,0.060044,10.307950,3.000000,0.666667,0.141734,0.599923,0.939433,0.538204,-0.517201,5.381652,
TD2916,0.060018,10.150996,3.000000,0.666667,0.139576,0.600051,0.940433,0.539906,-0.506154,5.305545,
TD2917,0.060008,10.001250,3.000000,0.666667,0.137517,0.599950,0.941400,0.541443,-0.495812,5.232779,
TD2918,0.059955,9.930487,3.000000,0.666667,0.136544,0.600050,0.941833,0.542205,-0.490938,5.198486,
TD2919,0.059983,9.793120,3.000000,0.666667,0.134655,0.599951,0.942733,0.543641,-0.481454,5.131717,
TD2920,0.060039,9.664170,3.000000,0.666667,0.132882,0.600024,0.943567,0.545059,-0.472578,5.069099,
TD2921,0.059995,9.541985,3.000000,0.666667,0.131202,0.599952,0.944367,0.546279,-0.464218,5.009661,
TD2922,0.059981,9.427292,3.000000,0.666667,0.129625,0.600047,0.945133,0.547608,-0.456399,4.954042,
TD2923,0.059988,9.318579,3.000000,0.666667,0.128130,0.600000,0.945867,0.548748,-0.448923,4.901107,
TD2924,0.060016,9.215528,3.000000,0.666667,0.126714,0.600046,0.946567,0.549821,-0.441885,4.850939,
TD2925,0.059950,9.117848,3.000000,0.666667,0.125370,0.599954,0.947200,0.550718,-0.435377,4.803396,
TD2926,0.060025,9.026289,3.000000,0.666667,0.124111,0.600023,0.947833,0.551732,-0.429087,4.758885,
TD2927,0.059956,8.898776,3.000000,0.666667,0.122358,0.600000,0.948700,0.553059,-0.420578,4.696774,
TD2928,0.059971,8.819314,3.000000,0.666667,0.121266,0.599934,0.949233,0.553853,-0.415169,4.658141,
TD2929,0.059989,8.709853,3.000000,0.666667,0.119760,0.600000,0.950000,0.555144,-0.407839,4.604790,
TD2930,0.059948,8.641175,3.000000,0.666667,0.118816,0.600022,0.950467,0.555844,-0.403219,4.571290,
TD2931,0.060043,8.547009,3.000000,0.666667,0.117521,0.600000,0.951133,0.556838,-0.397009,4.525427,
TD2932,0.059968,8.461132,3.000000,0.666667,0.116341,0.600000,0.951733,0.557694,-0.391222,4.483554,
TD2933,0.059985,8.360330,3.000000,0.666667,0.114955,0.599958,0.952467,0.558784,-0.384575,4.434424,
TD2934,0.059979,8.273009,3.000000,0.666667,0.113754,0.600000,0.953067,0.559669,-0.378800,4.391830,
TD2935,0.059951,8.198401,3.000000,0.666667,0.112728,0.600020,0.953600,0.560361,-0.373847,4.355401,
TD2936,0.060016,8.110300,3.000000,0.666667,0.111517,0.599959,0.954267,0.561334,-0.368005,4.312449,
TD2937,0.059952,8.033742,3.000000,0.666667,0.110464,0.600020,0.954833,0.562161,-0.363025,4.275055,
TD2938,0.060044,26.490066,3.000000,0.666667,0.485651,0.600000,0.680433,0.288300,-1.944812,12.626490,
TD2939,0.060135,25.231287,3.000000,0.666667,0.462574,0.600084,0.712767,0.302355,-1.863331,12.116484,
TD2940,0.059839,24.096386,3.000000,0.666667,0.441767,0.600000,0.738800,0.315663,-1.777510,11.645783,
TD2941,0.059977,23.068051,3.000000,0.666667,0.422914,0.599769,0.760067,0.328335,-1.692042,11.211073,
TD2942,0.060125,22.132055,3.000000,0.666667,0.405754,0.599779,0.777767,0.340096,-1.610476,10.809295,
TD2943,0.059929,21.276596,3.000000,0.666667,0.390071,0.600000,0.792700,0.350709,-1.533333,10.436879,
TD2944,0.060089,20.484807,3.000000,0.666667,0.375555,0.599863,0.805433,0.360874,-1.460567,10.087743,
TD2945,0.059947,19.762846,3.000000,0.666667,0.362319,0.600132,0.816400,0.370553,-1.393610,9.767128,
TD2946,0.060134,19.090041,3.000000,0.666667,0.349984,0.600064,0.826000,0.379255,-1.330894,9.465161,
TD2947,0.060018,18.467221,3.000000,0.666667,0.338566,0.600185,0.834433,0.387504,-1.273007,9.183749,
TD2948,0.059928,17.889088,3.000000,0.666667,0.327967,0.600179,0.841900,0.395349,-1.219439,8.921288,
TD2949,0.060133,17.346054,3.000000,0.666667,0.318011,0.599884,0.848567,0.402718,-1.169413,8.672738,
TD2950,0.060062,16.839742,3.000000,0.666667,0.308729,0.600056,0.854567,0.409486,-1.123211,8.440079,
TD2951,0.060027,16.371078,3.000000,0.666667,0.300136,0.600000,0.860000,0.416098,-1.080491,8.224284,
TD2952,0.059995,15.927794,3.000000,0.666667,0.292010,0.599947,0.864933,0.422087,-1.040350,8.018848,
TD2953,0.059964,15.507883,3.000000,0.666667,0.284311,0.599897,0.869433,0.427759,-1.002843,7.823727,
TD2954,0.059965,15.117158,3.000000,0.666667,0.277148,0.599899,0.873600,0.433359,-0.968254,7.641723,
TD2955,0.059966,14.745638,3.000000,0.666667,0.270337,0.599902,0.877400,0.438437,-0.935365,7.467928,
TD2956,0.059995,14.398848,3.000000,0.666667,0.263979,0.599952,0.880933,0.443245,-0.905208,7.305496,
TD2957,0.060023,14.067995,3.000000,0.666667,0.257913,0.600000,0.884233,0.447831,-0.876436,7.150293,
TD2958,0.060064,13.755158,3.000000,0.666667,0.252178,0.599954,0.887267,0.452315,-0.849381,7.002980,
TD2959,0.060103,13.455932,3.000000,0.666667,0.246692,0.599910,0.890133,0.456380,-0.823952,6.861852,
TD2960,0.059947,13.175231,3.000000,0.666667,0.241546,0.600132,0.892833,0.460255,-0.800176,6.729249,
TD2961,0.060089,12.650221,3.000000,0.666667,0.231921,0.600042,0.897700,0.467637,-0.756062,6.480708,
TD2962,0.059967,12.406948,3.000000,0.666667,0.227461,0.599876,0.899967,0.471050,-0.735939,6.365178,
TD2963,0.060065,12.175325,3.000000,0.666667,0.223214,0.600041,0.902067,0.474432,-0.716721,6.255073,
TD2964,0.059972,11.954573,3.000000,0.666667,0.219167,0.600120,0.904100,0.477585,-0.698745,6.150030,
TD2965,0.060078,11.741683,3.000000,0.666667,0.215264,0.600000,0.906000,0.480431,-0.681409,6.048728,
TD2966,0.060000,11.538462,3.000000,0.666667,0.211538,0.600000,0.907833,0.483269,-0.665000,5.951731,
TD2967,0.059936,11.344299,3.000000,0.666667,0.207979,0.599924,0.909533,0.486103,-0.649272,5.858953,
TD2968,0.060071,11.158639,3.000000,0.666667,0.204575,0.599963,0.911200,0.488748,-0.634369,5.770318,
TD2969,0.060029,10.980966,3.000000,0.666667,0.201318,0.599927,0.912800,0.491215,-0.620242,5.685395,
TD2970,0.059989,10.808863,3.000000,0.666667,0.198162,0.599892,0.914300,0.493605,-0.606557,5.602954,
TD2971,0.059955,10.487677,3.000000,0.666667,0.192274,0.600070,0.917133,0.498165,-0.581367,5.449047,
TD2972,0.059948,10.335917,3.000000,0.666667,0.189492,0.600000,0.918467,0.500258,-0.569509,5.376227,
TD2973,0.059952,10.190217,3.000000,0.666667,0.186821,0.600034,0.919767,0.502378,-0.558254,5.306216,
TD2974,0.059956,10.048568,3.000000,0.666667,0.184224,0.599900,0.921000,0.504271,-0.547312,5.238151,
TD2975,0.059980,9.914078,3.000000,0.666667,0.181758,0.599967,0.922200,0.506279,-0.536847,5.173496,
TD2976,0.060035,9.657170,3.000000,0.666667,0.177048,0.600032,0.924467,0.509899,-0.517141,5.049734,
TD2977,0.060076,9.535919,3.000000,0.666667,0.174825,0.599968,0.925533,0.511602,-0.507947,4.991418,
TD2978,0.059969,9.419152,3.000000,0.666667,0.172684,0.600000,0.926567,0.513187,-0.499058,4.935165,
TD2979,0.059933,9.196812,3.000000,0.666667,0.168608,0.599939,0.928533,0.516401,-0.482373,4.827866,
TD2980,0.060000,9.090909,3.000000,0.666667,0.166667,0.600000,0.929467,0.517879,-0.474394,4.776818,
TD2981,0.059925,8.988764,3.000000,0.666667,0.164794,0.600000,0.930400,0.519251,-0.466816,4.727491,
TD2982,0.059953,8.795075,3.000000,0.666667,0.161243,0.599971,0.932133,0.521988,-0.452360,4.633832,
TD2983,0.060052,8.703220,3.000000,0.666667,0.159559,0.600087,0.932967,0.523354,-0.445605,4.589498,
TD2984,0.060006,8.613264,3.000000,0.666667,0.157910,0.600057,0.933767,0.524548,-0.438846,4.545937,
TD2985,0.059941,8.442381,3.000000,0.666667,0.154777,0.599972,0.935300,0.526945,-0.426340,4.463205,
TD2986,0.060061,8.361204,3.000000,0.666667,0.153289,0.600056,0.936033,0.528149,-0.420429,4.423913,
TD2987,0.060038,8.205689,3.000000,0.666667,0.150438,0.599973,0.937467,0.530224,-0.409054,4.348605,
TD2988,0.060043,8.132285,3.000000,0.666667,0.149092,0.600027,0.938133,0.531309,-0.403768,4.313093,
TD2989,0.060061,7.990412,3.000000,0.666667,0.146491,0.599947,0.939467,0.533227,-0.393395,4.244240,
TD2990,0.059950,7.922884,3.000000,0.666667,0.145253,0.600026,0.940100,0.534266,-0.388617,4.211541,
TD2991,0.060008,7.793220,3.000000,0.666667,0.142876,0.599948,0.941300,0.536044,-0.379270,4.148591,
TD2992,0.060044,7.730963,3.000000,0.666667,0.141734,0.599923,0.941867,0.536786,-0.374823,4.118284,
TD2993,0.060018,7.613247,3.000000,0.666667,0.139576,0.600051,0.943000,0.538510,-0.366324,4.061160,
TD2994,0.060008,7.500938,3.000000,0.666667,0.137517,0.599950,0.944067,0.540068,-0.358420,4.006626,
TD2995,0.059955,7.447865,3.000000,0.666667,0.136544,0.600050,0.944567,0.540839,-0.354643,3.980884,
TD2996,0.059983,7.344840,3.000000,0.666667,0.134655,0.599951,0.945567,0.542172,-0.347289,3.930714,
TD2997,0.060039,7.248128,3.000000,0.666667,0.132882,0.600024,0.946500,0.543610,-0.340420,3.883668,
TD2998,0.059995,7.156489,3.000000,0.666667,0.131202,0.599952,0.947367,0.544847,-0.334089,3.839098,
TD2999,0.059981,7.070469,3.000000,0.666667,0.129625,0.600047,0.948233,0.546076,-0.327952,3.797195,
TD3000,0.059988,6.988934,3.000000,0.666667,0.128130,0.600000,0.949033,0.547117,-0.322306,3.757484,
TD3001,0.060016,6.911646,3.000000,0.666667,0.126714,0.600046,0.949800,0.548209,-0.316899,3.719848,
TD3002,0.059950,6.838386,3.000000,0.666667,0.125370,0.599954,0.950533,0.549122,-0.311830,3.684181,
TD3003,0.060025,6.769717,3.000000,0.666667,0.124111,0.600023,0.951233,0.550039,-0.307007,3.650683,
TD3004,0.059956,6.674082,3.000000,0.666667,0.122358,0.600000,0.952200,0.551390,-0.300445,3.604116,
TD3005,0.059971,6.614486,3.000000,0.666667,0.121266,0.599934,0.952800,0.552199,-0.296329,3.575019,
TD3006,0.059989,6.532390,3.000000,0.666667,0.119760,0.600000,0.953667,0.553402,-0.290691,3.535003,
TD3007,0.059948,6.480881,3.000000,0.666667,0.118816,0.600022,0.954167,0.554007,-0.287103,3.509829,
TD3008,0.060043,6.410256,3.000000,0.666667,0.117521,0.600000,0.954933,0.555021,-0.282265,3.475321,
TD3009,0.059968,6.345849,3.000000,0.666667,0.116341,0.600000,0.955600,0.555791,-0.277842,3.443892,
TD3010,0.059985,6.270248,3.000000,0.666667,0.114955,0.599958,0.956400,0.556902,-0.272756,3.406939,
TD3011,0.059979,6.204757,3.000000,0.666667,0.113754,0.600000,0.957100,0.557808,-0.268252,3.374974,
TD3012,0.059951,6.148801,3.000000,0.666667,0.112728,0.600020,0.957700,0.558516,-0.264501,3.347612,
TD3013,0.060016,6.082725,3.000000,0.666667,0.111517,0.599959,0.958400,0.559408,-0.259935,3.315288,
TD3014,0.059952,6.025306,3.000000,0.666667,0.110464,0.600020,0.959033,0.560153,-0.256076,3.287206,
TD3015,0.059834,64.620187,3.000000,0.666633,0.572320,0.599896,0.520700,0.239334,-4.088450,29.432362,
TD3016,0.060097,54.882899,3.000000,0.666633,0.486080,0.600088,0.689400,0.286346,-3.995139,25.773752,
TD3017,0.060054,48.120883,3.000000,0.666667,0.426191,0.599768,0.766400,0.325068,-3.510655,22.997675,
TD3018,0.059868,43.230073,3.000000,0.666667,0.382875,0.600070,0.808033,0.355378,-3.081448,20.884441,
TD3019,0.059930,39.591967,3.000000,0.666667,0.350653,0.599936,0.833267,0.378387,-2.749442,19.265222,
TD3020,0.059958,36.865539,3.000000,0.666667,0.326506,0.599881,0.849700,0.396260,-2.501633,18.030276,
TD3021,0.059994,34.819176,3.000000,0.666667,0.308382,0.599944,0.860867,0.409868,-2.317914,17.092515,
TD3022,0.060054,33.297587,3.000000,0.666667,0.294906,0.600000,0.868567,0.420107,-2.183378,16.389812,
TD3023,0.059934,31.675593,3.000000,0.666667,0.280541,0.599847,0.876300,0.431012,-2.042336,15.636062,
TD3024,0.060109,30.849478,3.000000,0.666667,0.273224,0.600099,0.880100,0.436662,-1.971436,15.250621,
TD3025,0.060034,30.065359,3.000000,0.666667,0.266279,0.600097,0.883567,0.442024,-1.904866,14.883563,
TD3026,0.059976,29.327037,3.000000,0.666667,0.259740,0.600000,0.886733,0.446989,-1.842739,14.536954,
TD3027,0.059935,28.630705,3.000000,0.666667,0.253573,0.600046,0.889667,0.451591,-1.784693,14.209544,
TD3028,0.059910,27.972973,3.000000,0.666667,0.247748,0.600000,0.892400,0.456081,-1.730405,13.899550,
TD3029,0.059899,27.350804,3.000000,0.666667,0.242237,0.599868,0.894900,0.460471,-1.679586,13.605814,
TD3030,0.059901,26.761474,3.000000,0.666667,0.237018,0.599871,0.897267,0.464555,-1.631760,13.327085,
TD3031,0.059916,26.202532,3.000000,0.666667,0.232068,0.600000,0.899467,0.468354,-1.586709,13.062447,
TD3032,0.059942,25.671765,3.000000,0.666667,0.227367,0.600041,0.901500,0.472096,-1.544233,12.810666,
TD3033,0.059980,25.167173,3.000000,0.666667,0.222898,0.600000,0.903433,0.475583,-1.504357,12.571023,
TD3034,0.060016,24.682035,3.000000,0.666667,0.218601,0.599960,0.905267,0.478935,-1.466216,12.340223,
TD3035,0.060074,24.224693,3.000000,0.666667,0.214550,0.599961,0.906967,0.482153,-1.430466,12.122489,
TD3036,0.059939,23.783991,3.000000,0.666667,0.210647,0.599962,0.908600,0.485255,-1.396208,11.912294,
TD3037,0.060008,23.363431,3.000000,0.666667,0.206922,0.599887,0.910100,0.488149,-1.363995,11.711625,
TD3038,0.060085,22.961730,3.000000,0.666667,0.203365,0.599926,0.911567,0.490849,-1.333148,11.519689,
TD3039,0.060000,22.581818,3.000000,0.666667,0.200000,0.600000,0.912933,0.493636,-1.304182,11.338182,
TD3040,0.059918,22.214273,3.000000,0.666667,0.196745,0.600072,0.914267,0.496155,-1.276516,11.162225,
TD3041,0.060025,21.862348,3.000000,0.666667,0.193628,0.600070,0.915500,0.498680,-1.249956,10.993663,
TD3042,0.059955,21.521400,3.000000,0.666667,0.190608,0.599896,0.916700,0.500953,-1.224571,10.830185,
TD3043,0.060079,21.198157,3.000000,0.666667,0.187745,0.599932,0.917833,0.503158,-1.200546,10.675201,
TD3044,0.060013,20.590186,3.000000,0.666667,0.182361,0.599967,0.919967,0.507460,-1.155670,10.383455,
TD3045,0.059987,20.300752,3.000000,0.666667,0.179797,0.600033,0.920967,0.509480,-1.134521,10.244361,
TD3046,0.059981,20.025798,3.000000,0.666667,0.177362,0.599968,0.921933,0.511448,-1.114479,10.112222,
TD3047,0.059975,19.758193,3.000000,0.666667,0.174992,0.600064,0.922867,0.513204,-1.094973,9.983455,
TD3048,0.059978,19.500707,3.000000,0.666667,0.172712,0.599937,0.923767,0.514995,-1.076464,9.859476,
TD3049,0.059991,19.252829,3.000000,0.666667,0.170516,0.599907,0.924600,0.516819,-1.058596,9.740040,
TD3050,0.060051,18.786870,3.000000,0.666667,0.166389,0.600061,0.926233,0.520042,-1.025261,9.515656,
TD3051,0.059940,18.565022,3.000000,0.666667,0.164425,0.600000,0.927000,0.521674,-1.009567,9.408670,
TD3052,0.059988,18.351064,3.000000,0.666667,0.162530,0.600030,0.927733,0.523197,-0.994385,9.305408,
TD3053,0.059954,17.942791,3.000000,0.666667,0.158914,0.599971,0.929133,0.526004,-0.965617,9.108350,
TD3054,0.060026,17.750464,3.000000,0.666667,0.157210,0.599971,0.929800,0.527369,-0.952122,9.015578,
TD3055,0.059955,17.562217,3.000000,0.666667,0.155543,0.599972,0.930433,0.528563,-0.939055,8.924632,
