CLUSTER,3
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD0,0.060054,12.3824,3.4,0.32,0.173353,0.5,1.24232,0.47053,-1.02105,6.23564,
TD1,0.060016,14.3071,3,0.2,0.126714,0.600046,1.15233,0.53715,-1.28476,7.235,
TD2,0.05995,14.1555,3,0.2,0.12537,0.599954,1.15317,0.538295,-1.26875,7.16287,
TD3,0.060025,14.0133,3,0.2,0.124111,0.600023,1.15393,0.539434,-1.25386,7.09534,
TD4,0.059956,13.8154,3,0.2,0.122358,0.6,1.15507,0.541046,-1.23304,7.00122,
TD5,0.059971,13.692,3,0.2,0.121266,0.599934,1.15577,0.541947,-1.22026,6.94256,
TD6,0.059989,13.522,3,0.2,0.11976,0.6,1.15673,0.543277,-1.2025,6.86162,
TD7,0.059948,13.4154,3,0.2,0.118816,0.600022,1.15733,0.54407,-1.19151,6.81087,
TD8,0.060043,13.2692,3,0.2,0.117521,0.6,1.15817,0.545192,-1.17639,6.74124,
TD9,0.059968,13.1359,3,0.2,0.116341,0.6,1.15893,0.546272,-1.16256,6.67774,
TD10,0.059985,12.9794,3,0.2,0.114955,0.599958,1.15983,0.547497,-1.14651,6.60309,
TD11,0.059979,12.8438,3,0.2,0.113754,0.6,1.16063,0.548501,-1.13258,6.53847,
TD12,0.059951,12.728,3,0.2,0.112728,0.60002,1.1613,0.549395,-1.12072,6.48319,
TD13,0.060016,12.5912,3,0.2,0.111517,0.599959,1.1621,0.550385,-1.10675,6.41788,
TD14,0.059952,12.4724,3,0.2,0.110464,0.60002,1.1628,0.551316,-1.0947,6.36122,
TD15,0.059955,13.9836,3,0.2,0.227233,0.60007,1.09207,0.44223,-1.45884,6.96259,
TD16,0.059948,13.7812,3,0.2,0.223945,0.6,1.09463,0.445134,-1.43256,6.87097,
TD17,0.059952,13.587,3,0.2,0.220788,0.600034,1.0971,0.44803,-1.40744,6.78278,
TD18,0.059956,13.3981,3,0.2,0.217719,0.5999,1.09947,0.450678,-1.38319,6.69687,
TD19,0.05998,13.2188,3,0.2,0.214805,0.599967,1.1017,0.453239,-1.36021,6.61517,
TD20,0.060035,12.8762,3,0.2,0.209239,0.600032,1.10593,0.458233,-1.31659,6.45872,
TD21,0.060076,12.7146,3,0.2,0.206612,0.599968,1.1079,0.460585,-1.29625,6.38477,
TD22,0.059969,12.5589,3,0.2,0.204082,0.6,1.1098,0.462794,-1.27661,6.3135,
TD23,0.059933,12.2624,3,0.2,0.199264,0.599939,1.11337,0.467045,-1.23958,6.17719,
TD24,0.06,12.1212,3,0.2,0.19697,0.6,1.11507,0.469091,-1.22197,6.11227,
TD25,0.059925,11.985,3,0.2,0.194757,0.6,1.1167,0.471011,-1.20509,6.04944,
TD26,0.059953,11.7268,3,0.2,0.19056,0.599971,1.11977,0.474787,-1.17326,5.93023,
TD27,0.060052,11.6043,3,0.2,0.18857,0.600087,1.12123,0.476646,-1.15825,5.87366,
TD28,0.060006,11.4844,3,0.2,0.186621,0.600057,1.12263,0.478323,-1.14355,5.81812,
TD29,0.059941,11.2565,3,0.2,0.182918,0.599972,1.12533,0.481497,-1.1158,5.71254,
TD30,0.060061,11.1483,3,0.2,0.181159,0.600056,1.1266,0.483138,-1.1027,5.66221,
TD31,0.060038,10.9409,3,0.2,0.17779,0.599973,1.12907,0.48605,-1.07782,5.56592,
TD32,0.060043,10.843,3,0.2,0.1762,0.600027,1.1302,0.48753,-1.06601,5.52047,
TD33,0.060061,10.6539,3,0.2,0.173126,0.599947,1.13243,0.490212,-1.04341,5.43228,
TD34,0.05995,10.5638,3,0.2,0.171662,0.600026,1.1335,0.491483,-1.03275,5.39033,
TD35,0.060008,10.391,3,0.2,0.168853,0.599948,1.13553,0.49396,-1.01234,5.30965,
TD36,0.060044,10.3079,3,0.2,0.167504,0.599923,1.1365,0.495039,-1.00245,5.27084,
TD37,0.060018,10.151,3,0.2,0.164954,0.600051,1.13837,0.497399,-0.984012,5.19744,
TD38,0.060008,10.0013,3,0.2,0.16252,0.59995,1.14013,0.499437,-0.966496,5.12739,
TD39,0.059955,9.93049,3,0.2,0.16137,0.60005,1.14097,0.500497,-0.958292,5.09422,
TD40,0.059983,9.79312,3,0.2,0.159138,0.599951,1.1426,0.502387,-0.942343,5.02975,
TD41,0.060039,9.66417,3,0.2,0.157043,0.600024,1.14413,0.504107,-0.927398,4.96932,
TD42,0.059995,9.54199,3,0.2,0.155057,0.599952,1.14557,0.505844,-0.913287,4.91186,
TD43,0.059981,9.42729,3,0.2,0.153193,0.600047,1.14697,0.507542,-0.900189,4.858,
TD44,0.059988,9.31858,3,0.2,0.151427,0.6,1.14827,0.509027,-0.887711,4.80687,
TD45,0.060016,9.21553,3,0.2,0.149752,0.600046,1.1495,0.510425,-0.875936,4.75844,
TD46,0.05995,9.11785,3,0.2,0.148165,0.599954,1.15067,0.511739,-0.864942,4.71233,
TD47,0.060025,9.02629,3,0.2,0.146677,0.600023,1.1518,0.513032,-0.854564,4.66919,
TD48,0.059956,8.89878,3,0.2,0.144605,0.6,1.15333,0.514794,-0.840156,4.60912,
TD49,0.059971,8.81931,3,0.2,0.143314,0.599934,1.1543,0.51593,-0.83122,4.5716,
TD50,0.059989,8.70985,3,0.2,0.141535,0.6,1.15567,0.517474,-0.818944,4.51987,
TD51,0.059948,8.64118,3,0.2,0.140419,0.600022,1.1565,0.518362,-0.81119,4.48747,
TD52,0.060043,8.54701,3,0.2,0.138889,0.6,1.15767,0.519658,-0.800748,4.44295,
TD53,0.059968,8.46113,3,0.2,0.137493,0.6,1.15873,0.520888,-0.791222,4.40233,
TD54,0.059985,8.36033,3,0.2,0.135855,0.599958,1.16,0.522207,-0.780019,4.35458,
TD55,0.059979,8.27301,3,0.2,0.134436,0.6,1.1611,0.523475,-0.770424,4.31324,
TD56,0.059951,8.1984,3,0.2,0.133224,0.60002,1.16203,0.52439,-0.762144,4.27793,
TD57,0.060016,8.1103,3,0.2,0.131792,0.599959,1.16317,0.525649,-0.752534,4.23611,
TD58,0.059952,8.03374,3,0.2,0.130548,0.60002,1.16413,0.526712,-0.744125,4.19984,
TD59,0.060023,14.068,3,0.2,0.304807,0.6,1.01887,0.372802,-1.59766,6.86964,
