CLUSTER,1
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD51,0.059958,36.8655,3,0.5,0.326506,0.599881,0.903633,0.386465,-2.97715,17.8581,
TD52,0.059994,34.8192,3,0.5,0.308382,0.599944,0.917167,0.400897,-2.76311,16.9425,
TD53,0.060054,33.2976,3,0.5,0.294906,0.6,0.926467,0.411528,-2.60563,16.2544,
TD54,0.059947,32.9443,3,0.5,0.291777,0.6,0.9285,0.414058,-2.5695,16.0939,
TD55,0.059934,31.6756,3,0.5,0.280541,0.599847,0.9357,0.423106,-2.44019,15.5149,
TD56,0.060026,34.7977,3,0.499967,0.478469,0.600261,0.7121,0.277947,-2.92823,16.184,
TD57,0.060131,54.1176,3,0.499967,0.479303,0.6,0.714467,0.276253,-4.5207,24.9651,
TD58,0.06015,46.6917,3,0.499967,0.413534,0.6,0.816633,0.321053,-3.97895,22.0635,
TD59,0.060093,41.2351,3,0.499967,0.365206,0.599934,0.870133,0.356574,-3.43559,19.7716,
TD60,0.059982,37.0636,3,0.5,0.32826,0.600119,0.902267,0.385258,-2.99791,17.9463,
TD61,0.060136,33.7959,3,0.5,0.29932,0.6,0.923467,0.408163,-2.65687,16.4803,
TD62,0.060131,34.8584,3,0.499967,0.479303,0.6,0.710633,0.27756,-2.93159,16.207,
TD63,0.060135,52.2288,3,0.5,0.546678,0.600084,0.5574,0.238015,-3.81329,23.4516,
TD64,0.059839,49.8795,3,0.5,0.522088,0.6,0.6212,0.251004,-3.90442,22.6482,
TD65,0.059977,47.7509,3,0.5,0.499808,0.599769,0.671833,0.263745,-3.8985,21.8947,
TD66,0.060125,45.8134,3,0.5,0.479528,0.599779,0.7125,0.276282,-3.83438,21.1859,
TD67,0.059929,44.0426,3,0.5,0.460993,0.6,0.745667,0.288652,-3.73688,20.5177,
TD68,0.060089,42.4036,3,0.5,0.443837,0.599863,0.773,0.299761,-3.62103,19.8815,
TD69,0.059947,40.9091,3,0.5,0.428195,0.600132,0.795867,0.310935,-3.49901,19.2889,
TD70,0.060134,39.5164,3,0.5,0.413618,0.600064,0.8152,0.321031,-3.37417,18.7245,
TD71,0.060018,38.2271,3,0.5,0.400123,0.600185,0.8317,0.330871,-3.25146,18.193,
TD72,0.059928,37.0304,3,0.5,0.387597,0.600179,0.845967,0.340191,-3.13268,17.6926,
TD73,0.060133,35.9063,3,0.5,0.375831,0.599884,0.858333,0.348656,-3.0185,17.2157,
TD74,0.060062,34.8583,3,0.5,0.364861,0.600056,0.8692,0.357003,-2.90991,16.7662,
TD75,0.060027,33.8881,3,0.5,0.354707,0.6,0.878833,0.364802,-2.80819,16.3468,
TD76,0.059995,32.9705,3,0.5,0.345102,0.599947,0.887367,0.372179,-2.71171,15.9461,
TD77,0.059964,32.1013,3,0.5,0.336004,0.599897,0.895033,0.378909,-2.62032,15.5635,
TD78,0.060054,48.1209,3,0.5,0.503681,0.599768,0.6636,0.261527,-3.90508,22.0279,
TD79,0.059868,43.2301,3,0.5,0.452489,0.60007,0.759633,0.294118,-3.68221,20.2047,
TD80,0.05993,39.592,3,0.5,0.414409,0.599936,0.8141,0.32037,-3.38126,18.7549,
TD81,0.059861,39.1304,3,0.5,0.409578,0.600189,0.820333,0.323882,-3.33806,18.5665,
TD82,0.059958,36.8655,3,0.5,0.385871,0.599881,0.847733,0.341348,-3.11606,17.6224,
TD83,0.059994,34.8192,3,0.5,0.364452,0.599944,0.8697,0.357443,-2.9058,16.7499,
TD84,0.060054,33.2976,3,0.5,0.348525,0.6,0.884367,0.369437,-2.74611,16.0893,
TD85,0.059947,32.9443,3,0.5,0.344828,0.6,0.887567,0.372149,-2.70902,15.9345,
TD86,0.059934,31.6756,3,0.5,0.331548,0.599847,0.898667,0.382555,-2.57536,15.3752,
TD87,0.060054,48.1209,3,0.199967,0.426191,0.599768,0.8266,0.264239,-5.32119,21.6075,
TD88,0.059868,43.2301,3,0.199967,0.382875,0.60007,0.916133,0.303515,-4.90567,19.8778,
TD89,0.05993,39.592,3,0.2,0.350653,0.599936,0.9667,0.332483,-4.47274,18.4791,
TD90,0.059861,39.1304,3,0.2,0.346566,0.600189,0.972467,0.336169,-4.41336,18.2965,
TD91,0.059958,36.8655,3,0.2,0.326506,0.599881,0.9981,0.354111,-4.11517,17.3793,
TD92,0.059994,34.8192,3,0.2,0.308382,0.599944,1.01873,0.3709,-3.83824,16.5287,
TD93,0.060054,33.2976,3,0.2,0.294906,0.6,1.03263,0.38311,-3.63083,15.8836,
TD94,0.059947,32.9443,3,0.2,0.291777,0.6,1.0357,0.385942,-3.58276,15.7321,
TD95,0.059934,31.6756,3,0.2,0.280541,0.599847,1.0463,0.396327,-3.41036,15.1849,
TD96,0.06015,46.6917,3,0.499967,0.488722,0.6,0.694667,0.270677,-3.86955,21.5101,
TD97,0.060093,41.2351,3,0.5,0.431607,0.599934,0.791067,0.308433,-3.52689,19.419,
TD98,0.059982,37.0636,3,0.5,0.387944,0.600119,0.8455,0.3396,-3.13608,17.7061,
TD99,0.060136,33.7959,3,0.5,0.353741,0.6,0.879667,0.365442,-2.79864,16.3067,
TD100,0.060125,45.8134,3,0.5,0.553301,0.599779,0.5387,0.234969,-3.28292,20.5622,
TD101,0.059929,44.0426,3,0.5,0.531915,0.6,0.596467,0.246099,-3.37766,19.9617,
TD102,0.060089,42.4036,3,0.5,0.51212,0.599863,0.643833,0.257084,-3.3998,19.3889,
TD103,0.059947,40.9091,3,0.5,0.494071,0.600132,0.682967,0.267787,-3.37615,18.8531,
TD104,0.060134,39.5164,3,0.5,0.477251,0.600064,0.715633,0.278396,-3.32167,18.3385,
TD105,0.060018,38.2271,3,0.5,0.461681,0.600185,0.743167,0.288396,-3.249,17.8504,
TD106,0.059928,37.0304,3,0.5,0.447227,0.600179,0.7666,0.297853,-3.16577,17.3873,
TD107,0.060133,35.9063,3,0.5,0.433651,0.599884,0.7867,0.307025,-3.07661,16.9428,
TD108,0.060062,34.8583,3,0.5,0.420994,0.600056,0.8041,0.316026,-2.98597,16.5209,
TD109,0.060027,33.8881,3,0.5,0.409277,0.6,0.819267,0.32442,-2.89632,16.1252,
TD110,0.059995,32.9705,3,0.5,0.398195,0.599947,0.8326,0.33236,-2.80781,15.7454,
TD111,0.059964,32.1013,3,0.5,0.387697,0.599897,0.8444,0.339881,-2.72138,15.3807,
TD112,0.059868,43.2301,3,0.5,0.522102,0.60007,0.620733,0.251653,-3.39575,19.6801,
TD113,0.05993,39.592,3,0.5,0.478164,0.599936,0.7138,0.277654,-3.32515,18.3663,
TD114,0.059861,39.1304,3,0.5,0.47259,0.600189,0.724233,0.281348,-3.30214,18.1941,
TD115,0.059958,36.8655,3,0.5,0.445236,0.599881,0.769533,0.299199,-3.15346,17.3221,
TD116,0.059994,34.8192,3,0.5,0.420521,0.599944,0.804867,0.316512,-2.98234,16.5057,
TD117,0.060054,33.2976,3,0.5,0.402145,0.6,0.827933,0.329491,-2.83968,15.8812,
TD118,0.059947,32.9443,3,0.5,0.397878,0.6,0.832933,0.332361,-2.80531,15.7342,
TD119,0.059934,31.6756,3,0.5,0.382555,0.599847,0.85,0.34379,-2.6784,15.201,
TD120,0.060093,41.2351,3,0.5,0.498008,0.599934,0.674767,0.265604,-3.38446,18.9711,
TD121,0.059982,37.0636,3,0.5,0.447628,0.600119,0.765867,0.297523,-3.16831,17.3999,
TD122,0.060136,33.7959,3,0.5,0.408163,0.6,0.820633,0.32517,-2.88762,16.0871,
TD123,0.059802,64.5866,3,0.666667,0.572023,0.600104,0.521133,0.23921,-4.0884,29.4186,
TD124,0.059863,60.9421,3,0.666667,0.539745,0.600098,0.593933,0.255643,-4.17861,28.0952,
TD125,0.059944,57.7138,3,0.666667,0.511152,0.599907,0.648467,0.271375,-4.12221,26.8787,
TD126,0.060044,54.8344,3,0.666667,0.485651,0.6,0.6902,0.286976,-3.99294,25.7554,
TD127,0.060135,52.2288,3,0.666667,0.462574,0.600084,0.7228,0.301093,-3.82885,24.7065,
TD128,0.059839,49.8795,3,0.666667,0.441767,0.6,0.748767,0.314859,-3.65381,23.7369,
TD129,0.059977,47.7509,3,0.666667,0.422914,0.599769,0.769867,0.327182,-3.47981,22.8404,
TD130,0.060125,45.8134,3,0.666667,0.405754,0.599779,0.787233,0.339358,-3.31243,22.0103,
TD131,0.059929,44.0426,3,0.666667,0.390071,0.6,0.801767,0.350355,-3.15461,21.2408,
TD132,0.060089,42.4036,3,0.666667,0.375555,0.599863,0.814067,0.360533,-3.00649,20.5193,
TD133,0.059947,40.9091,3,0.666667,0.362319,0.600132,0.824633,0.370224,-2.8699,19.8557,
TD134,0.060134,39.5164,3,0.666667,0.349984,0.600064,0.833767,0.378937,-2.7426,19.2313,
TD135,0.060018,38.2271,3,0.666667,0.338566,0.600185,0.841767,0.387504,-2.62481,18.6494,
TD136,0.059928,37.0304,3,0.666667,0.327967,0.600179,0.8488,0.395349,-2.5164,18.1055,
TD137,0.060133,35.9063,3,0.666667,0.318011,0.599884,0.855033,0.402718,-2.41515,17.5918,
TD138,0.060062,34.8583,3,0.666667,0.308729,0.600056,0.860633,0.409486,-2.32136,17.1103,
TD139,0.060027,33.8881,3,0.666667,0.300136,0.6,0.865633,0.416098,-2.2352,16.663,
TD140,0.059995,32.9705,3,0.666667,0.29201,0.599947,0.8702,0.422352,-2.15476,16.2384,
TD141,0.059964,32.1013,3,0.666667,0.284311,0.599897,0.8743,0.428018,-2.07909,15.8343,
TD142,0.059944,37.1747,3,0.666667,0.511152,0.599907,0.643867,0.272305,-2.66961,17.4433,
TD143,0.060044,35.3201,3,0.666667,0.485651,0.6,0.685167,0.287417,-2.58322,16.7166,
TD144,0.060135,33.6417,3,0.666667,0.462574,0.600084,0.717633,0.301934,-2.47561,16.0387,
TD145,0.059839,32.1285,3,0.666667,0.441767,0.6,0.743633,0.315261,-2.36225,15.4124,
TD146,0.059834,64.6202,3,0.666633,0.57232,0.599896,0.5207,0.239334,-4.08845,29.4324,
TD147,0.060097,54.8829,3,0.666633,0.48608,0.600088,0.6894,0.286346,-3.99514,25.7738,
TD148,0.060054,48.1209,3,0.666667,0.426191,0.599768,0.7664,0.325068,-3.51065,22.9977,
TD149,0.059868,43.2301,3,0.666667,0.382875,0.60007,0.808033,0.355378,-3.08145,20.8844,
TD150,0.05993,39.592,3,0.666667,0.350653,0.599936,0.833267,0.378387,-2.74944,19.2652,
TD151,0.059958,36.8655,3,0.666667,0.326506,0.599881,0.8497,0.39626,-2.50163,18.0303,
TD152,0.059994,34.8192,3,0.666667,0.308382,0.599944,0.860867,0.409868,-2.31791,17.0925,
TD153,0.060054,33.2976,3,0.666667,0.294906,0.6,0.868567,0.420107,-2.18338,16.3898,
TD154,0.059934,31.6756,3,0.666667,0.280541,0.599847,0.8763,0.431012,-2.04234,15.6361,
TD155,0.060097,35.3513,3,0.666633,0.48608,0.600088,0.684367,0.287229,-2.58462,16.7282,
TD156,0.060131,54.1176,3,0.666633,0.479303,0.6,0.699667,0.290632,-3.95163,25.4702,
TD157,0.06015,46.6917,3,0.666633,0.413534,0.6,0.779567,0.333835,-3.3891,22.388,
TD158,0.060093,41.2351,3,0.666667,0.365206,0.599934,0.8224,0.367862,-2.89973,20.001,
TD159,0.059982,37.0636,3,0.666667,0.32826,0.600119,0.8486,0.395106,-2.51955,18.1206,
TD160,0.060136,33.7959,3,0.666667,0.29932,0.6,0.8661,0.416871,-2.22721,16.6204,
TD161,0.060131,34.8584,3,0.666633,0.479303,0.6,0.6946,0.291503,-2.55599,16.532,
TD162,0.060044,54.8344,3,0.666667,0.573951,0.6,0.516067,0.238852,-3.46578,25.0208,
TD163,0.060135,52.2288,3,0.666667,0.546678,0.600084,0.5783,0.252313,-3.54205,24.0761,
TD164,0.059839,49.8795,3,0.666667,0.522088,0.6,0.627167,0.265462,-3.5241,23.1984,
TD165,0.059977,47.7509,3,0.666667,0.499808,0.599769,0.666033,0.278354,-3.45137,22.3795,
TD166,0.060125,45.8134,3,0.666667,0.479528,0.599779,0.697467,0.290668,-3.34932,21.6138,
TD167,0.059929,44.0426,3,0.666667,0.460993,0.6,0.723233,0.302482,-3.23333,20.8979,
TD168,0.060089,42.4036,3,0.666667,0.443837,0.599863,0.744633,0.313418,-3.11096,20.2209,
TD169,0.059947,40.9091,3,0.666667,0.428195,0.600132,0.762633,0.324111,-2.99012,19.5939,
TD170,0.060134,39.5164,3,0.666667,0.413618,0.600064,0.777933,0.334076,-2.87178,19.0003,
TD171,0.060018,38.2271,3,0.666667,0.400123,0.600185,0.791067,0.343183,-2.75839,18.4438,
TD172,0.059928,37.0304,3,0.666667,0.387597,0.600179,0.802467,0.352117,-2.65087,17.9219,
TD173,0.060133,35.9063,3,0.666667,0.375831,0.599884,0.812433,0.360509,-2.54871,17.4267,
TD174,0.060062,34.8583,3,0.666667,0.364861,0.600056,0.821233,0.368229,-2.45299,16.9613,
TD175,0.060027,33.8881,3,0.666667,0.354707,0.6,0.829033,0.375716,-2.36398,16.5277,
TD176,0.059995,32.9705,3,0.666667,0.345102,0.599947,0.836,0.382798,-2.2798,16.1149,
TD177,0.059964,32.1013,3,0.666667,0.336004,0.599897,0.842267,0.389248,-2.20057,15.7211,
TD178,0.060135,33.6417,3,0.666467,0.546678,0.600084,0.574033,0.253154,-2.30362,15.643,
TD179,0.059839,32.1285,3,0.666667,0.522088,0.6,0.621967,0.266265,-2.28594,15.0739,
TD180,0.060097,54.8829,3,0.666667,0.574459,0.600088,0.5145,0.238621,-3.46178,25.0371,
TD181,0.060054,48.1209,3,0.666667,0.503681,0.599768,0.659733,0.27625,-3.46726,22.5238,
TD182,0.059868,43.2301,3,0.666667,0.452489,0.60007,0.734167,0.30804,-3.17403,20.5642,
TD183,0.05993,39.592,3,0.666667,0.414409,0.599936,0.777067,0.33344,-2.87823,19.0322,
TD184,0.059958,36.8655,3,0.666667,0.385871,0.599881,0.8039,0.353221,-2.63609,17.8492,
TD185,0.059994,34.8192,3,0.666667,0.364452,0.599944,0.821633,0.368657,-2.4494,16.9442,
TD186,0.060054,33.2976,3,0.666667,0.348525,0.6,0.833533,0.380161,-2.30992,16.2622,
TD187,0.059934,31.6756,3,0.666667,0.331548,0.599847,0.845267,0.392502,-2.16169,15.5279,
TD188,0.060131,54.1176,3,0.666667,0.566449,0.6,0.534233,0.242266,-3.49891,24.7643,
TD189,0.06015,46.6917,3,0.666667,0.488722,0.6,0.683667,0.284962,-3.39925,21.9635,
TD190,0.060093,41.2351,3,0.666667,0.431607,0.599934,0.758833,0.321713,-3.01726,19.7314,
TD191,0.059982,37.0636,3,0.666667,0.387944,0.600119,0.802133,0.351835,-2.65383,17.9364,
TD192,0.060136,33.7959,3,0.666667,0.353741,0.6,0.829733,0.376327,-2.35565,16.4863,
TD193,0.06015,46.6917,3,0.199967,0.413534,0.6,0.855733,0.27594,-5.2282,21.1211,
TD194,0.060093,41.2351,3,0.199967,0.365206,0.599934,0.945267,0.319389,-4.67663,19.1215,
TD195,0.059982,37.0636,3,0.199967,0.32826,0.600119,0.996,0.352731,-4.14145,17.4608,
TD196,0.060136,33.7959,3,0.2,0.29932,0.6,1.0282,0.379048,-3.69878,16.0958,
TD197,0.059977,47.7509,3,0.666667,0.576701,0.599769,0.508167,0.237601,-3.00192,21.8174,
TD198,0.060125,45.8134,3,0.666667,0.553301,0.599779,0.5628,0.248986,-3.07156,21.118,
TD199,0.059929,44.0426,3,0.666667,0.531915,0.6,0.6072,0.260284,-3.07518,20.4624,
TD200,0.060089,42.4036,3,0.666667,0.51212,0.599863,0.643633,0.271424,-3.03653,19.8392,
TD201,0.059947,40.9091,3,0.666667,0.494071,0.600132,0.673867,0.28195,-2.97365,19.2582,
TD202,0.060134,39.5164,3,0.666667,0.477251,0.600064,0.6992,0.292396,-2.89532,18.7041,
TD203,0.060018,38.2271,3,0.666667,0.461681,0.600185,0.720667,0.302247,-2.80979,18.1816,
TD204,0.059928,37.0304,3,0.666667,0.447227,0.600179,0.739,0.311568,-2.72123,17.6884,
TD205,0.060133,35.9063,3,0.666667,0.433651,0.599884,0.754833,0.320324,-2.63169,17.2177,
TD206,0.060062,34.8583,3,0.666667,0.420994,0.600056,0.7686,0.328936,-2.5442,16.7735,
TD207,0.060027,33.8881,3,0.666667,0.409277,0.6,0.780667,0.336971,-2.4603,16.358,
TD208,0.059995,32.9705,3,0.666667,0.398195,0.599947,0.7913,0.344837,-2.37882,15.961,
TD209,0.059964,32.1013,3,0.666667,0.387697,0.599897,0.800767,0.352029,-2.30085,15.581,
TD210,0.060054,48.1209,3,0.666667,0.58117,0.599768,0.497133,0.235568,-2.98063,21.95,
TD211,0.059868,43.2301,3,0.666667,0.522102,0.60007,0.625867,0.265924,-3.06056,20.1559,
TD212,0.05993,39.592,3,0.666667,0.478164,0.599936,0.697767,0.29168,-2.8999,18.7341,
TD213,0.059958,36.8655,3,0.666667,0.445236,0.599881,0.7413,0.312852,-2.70852,17.6195,
TD214,0.059994,34.8192,3,0.666667,0.420521,0.599944,0.7692,0.329408,-2.54079,16.7572,
TD215,0.060054,33.2976,3,0.666667,0.402145,0.6,0.787567,0.342091,-2.40804,16.1029,
TD216,0.059934,31.6756,3,0.666667,0.382555,0.599847,0.805267,0.355777,-2.26192,15.394,
TD217,0.06015,46.6917,3,0.666667,0.56391,0.6,0.538867,0.243609,-3.04925,21.4372,
TD218,0.060093,41.2351,3,0.666667,0.498008,0.599934,0.667533,0.279548,-2.98938,19.3861,
TD219,0.059982,37.0636,3,0.666667,0.447628,0.600119,0.738433,0.31125,-2.72367,17.7019,
TD220,0.060136,33.7959,3,0.666667,0.408163,0.6,0.781733,0.337687,-2.45225,16.3181,
TD221,0.060027,33.8881,3,0.2,0.300136,0.500136,0.909733,0.298772,-4.65757,14.755,
TD222,0.059995,32.9705,3,0.2,0.29201,0.500133,0.930033,0.310327,-4.5811,14.4377,
TD223,0.059964,32.1013,3,0.2,0.284311,0.499871,0.947967,0.320238,-4.49832,14.1303,
TD224,0.060054,33.2976,3,0.2,0.294906,0.5,0.922933,0.306166,-4.60938,14.5515,
TD225,0.059934,31.6756,3,0.2,0.280541,0.499872,0.956467,0.325172,-4.45524,13.9781,
TD226,0.060136,33.7959,3,0.2,0.29932,0.500136,0.911767,0.299864,-4.65007,14.7233,
TD227,0.059929,44.0426,3,0.2,0.460993,0.6,0.730433,0.232979,-4.58369,19.3989,
TD228,0.060089,42.4036,3,0.2,0.443837,0.599863,0.780767,0.249573,-4.58279,18.8884,
TD229,0.059947,40.9091,3,0.2,0.428195,0.600132,0.8215,0.263834,-4.528,18.4018,
TD230,0.060134,39.5164,3,0.2,0.413618,0.600064,0.8551,0.276806,-4.43844,17.9271,
TD231,0.060018,38.2271,3,0.2,0.400123,0.600185,0.883167,0.288704,-4.33026,17.4721,
TD232,0.059928,37.0304,3,0.2,0.387597,0.600179,0.906933,0.29994,-4.21228,17.0367,
TD233,0.060133,35.9063,3,0.2,0.375831,0.599884,0.9273,0.310205,-4.08962,16.6161,
TD234,0.060062,34.8583,3,0.2,0.364861,0.600056,0.944867,0.319955,-3.9666,16.2153,
TD235,0.060027,33.8881,3,0.2,0.354707,0.6,0.9602,0.329059,-3.84693,15.8377,
TD236,0.059995,32.9705,3,0.2,0.345102,0.599947,0.973667,0.337669,-3.73002,15.4739,
TD237,0.059964,32.1013,3,0.2,0.336004,0.599897,0.9856,0.345567,-3.61644,15.1235,
TD238,0.060093,41.2351,3,0.666667,0.332005,0.449867,0.7559,0.384794,-3.70086,18.9691,
TD239,0.059982,37.0636,3,0.666667,0.298418,0.450015,0.799967,0.408236,-3.37422,17.2402,
TD240,0.060136,33.7959,3,0.666667,0.272109,0.450068,0.830167,0.426939,-3.08599,15.8514,
TD241,0.060125,45.8134,3,0.2,0.368868,0.549982,0.8558,0.279233,-5.58908,20.1922,
TD242,0.059929,44.0426,3,0.2,0.35461,0.55,0.8905,0.29539,-5.46773,19.5901,
TD243,0.060089,42.4036,3,0.2,0.341413,0.550017,0.919133,0.309321,-5.32229,19.0106,
TD244,0.059947,40.9091,3,0.2,0.329381,0.550066,0.9432,0.322134,-5.16897,18.4677,
TD245,0.060134,39.5164,3,0.2,0.318167,0.550111,0.963667,0.333439,-5.01114,17.9478,
TD246,0.060018,38.2271,3,0.2,0.307787,0.550015,0.9813,0.344106,-4.85503,17.4564,
TD247,0.059928,37.0304,3,0.2,0.298151,0.550089,0.996633,0.353608,-4.70304,16.9919,
TD248,0.060133,35.9063,3,0.2,0.289101,0.54987,1.01007,0.362533,-4.55536,16.5478,
TD249,0.060062,34.8583,3,0.2,0.280662,0.549818,1.02193,0.370755,-4.41398,16.1283,
TD250,0.060027,33.8881,3,0.2,0.272851,0.550068,1.03253,0.378718,-4.28104,15.7356,
TD251,0.059995,32.9705,3,0.2,0.265463,0.55004,1.042,0.385984,-4.15344,15.3597,
TD252,0.059964,32.1013,3,0.2,0.258465,0.550013,1.05053,0.392608,-4.03179,15,
TD253,0.059868,43.2301,3,0.2,0.348068,0.549948,0.905133,0.302471,-5.39923,19.3056,
TD254,0.05993,39.592,3,0.2,0.318776,0.549888,0.9625,0.332802,-5.02008,17.9761,
TD255,0.059958,36.8655,3,0.2,0.296824,0.550015,0.998567,0.354705,-4.68151,16.9267,
TD256,0.059994,34.8192,3,0.2,0.280348,0.550042,1.02247,0.37118,-4.40875,16.113,
TD257,0.060054,33.2976,3,0.2,0.268097,0.550134,1.03867,0.383378,-4.1992,15.4941,
