CLUSTER,1
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD0,0.060135,52.2288,3,0.2,0.462574,0.600084,0.724267,0.228764,-5.3852,22.9071,
TD1,0.059839,49.8795,3,0.2,0.441767,0.6,0.786367,0.249799,-5.39076,22.1815,
TD2,0.059977,47.7509,3,0.2,0.422914,0.599769,0.834333,0.267205,-5.2995,21.4825,
TD3,0.060125,45.8134,3,0.2,0.405754,0.599779,0.872367,0.282921,-5.15787,20.8141,
TD4,0.059929,44.0426,3,0.2,0.390071,0.6,0.903167,0.297163,-4.99149,20.1777,
TD5,0.060089,42.4036,3,0.2,0.375555,0.599863,0.928533,0.310003,-4.81393,19.5671,
TD6,0.059947,40.9091,3,0.2,0.362319,0.600132,0.949733,0.322134,-4.63702,18.9957,
TD7,0.060134,39.5164,3,0.2,0.349984,0.600064,0.9677,0.333121,-4.46293,18.4496,
TD8,0.060018,38.2271,3,0.2,0.338566,0.600185,0.9831,0.34349,-4.29578,17.9341,
TD9,0.059928,37.0304,3,0.2,0.327967,0.600179,0.9964,0.353011,-4.13715,17.4475,
TD10,0.060133,35.9063,3,0.2,0.318011,0.599884,1.00803,0.361954,-3.98583,16.9829,
TD11,0.060062,34.8583,3,0.2,0.308729,0.600056,1.0183,0.370194,-3.84367,16.5448,
TD12,0.060027,33.8881,3,0.2,0.300136,0.6,1.0274,0.378445,-3.71132,16.1351,
TD13,0.059995,32.9705,3,0.2,0.29201,0.599947,1.0355,0.385718,-3.58641,15.7436,
TD14,0.059964,32.1013,3,0.2,0.284311,0.599897,1.0428,0.392608,-3.46808,15.3691,
TD15,0.059868,43.2301,3,0.2,0.452489,0.60007,0.7564,0.241559,-4.59276,19.15,
TD16,0.05993,39.592,3,0.2,0.414409,0.599936,0.8532,0.27606,-4.44405,17.9528,
TD17,0.059861,39.1304,3,0.2,0.409578,0.600189,0.863867,0.280403,-4.40863,17.793,
TD18,0.059958,36.8655,3,0.2,0.385871,0.599881,0.909933,0.301276,-4.19501,16.9751,
TD19,0.059994,34.8192,3,0.2,0.364452,0.599944,0.945633,0.320437,-3.96187,16.2007,
TD20,0.060054,33.2976,3,0.2,0.348525,0.6,0.968967,0.334584,-3.77212,15.604,
TD21,0.059947,32.9443,3,0.2,0.344828,0.6,0.974,0.337666,-3.72653,15.4629,
TD22,0.059934,31.6756,3,0.2,0.331548,0.599847,0.991267,0.349656,-3.56006,14.9505,
TD23,0.060093,41.2351,3,0.199967,0.431607,0.599934,0.813033,0.260624,-4.54383,18.5096,
TD24,0.059982,37.0636,3,0.199967,0.387944,0.600119,0.906233,0.299612,-4.21576,17.0486,
TD25,0.060136,33.7959,3,0.2,0.353741,0.6,0.961567,0.329796,-3.83537,15.8011,
TD26,0.059863,60.9421,3,0.5,0.539745,0.600098,0.576433,0.240922,-4.53042,27.3788,
TD27,0.059944,57.7138,3,0.5,0.511152,0.599907,0.647867,0.25697,-4.60874,26.2653,
TD28,0.060044,54.8344,3,0.5,0.485651,0.6,0.7022,0.272406,-4.55055,25.2296,
TD29,0.060135,52.2288,3,0.5,0.462574,0.600084,0.7443,0.287216,-4.41842,24.2527,
TD30,0.059839,49.8795,3,0.5,0.441767,0.6,0.777567,0.301205,-4.25301,23.3422,
TD31,0.059977,47.7509,3,0.5,0.422914,0.599769,0.804367,0.31411,-4.07497,22.4937,
TD32,0.060125,45.8134,3,0.5,0.405754,0.599779,0.8263,0.326448,-3.89598,21.7031,
TD33,0.059929,44.0426,3,0.5,0.390071,0.6,0.8445,0.338298,-3.72269,20.966,
TD34,0.060089,42.4036,3,0.5,0.375555,0.599863,0.859833,0.348925,-3.5565,20.2721,
TD35,0.059947,40.9091,3,0.5,0.362319,0.600132,0.8729,0.359025,-3.40151,19.6314,
TD36,0.060134,39.5164,3,0.5,0.349984,0.600064,0.884167,0.368438,-3.25581,19.0264,
TD37,0.060018,38.2271,3,0.5,0.338566,0.600185,0.893933,0.377347,-3.12034,18.4611,
TD38,0.059928,37.0304,3,0.5,0.327967,0.600179,0.902533,0.38551,-2.99433,17.9317,
TD39,0.060133,35.9063,3,0.5,0.318011,0.599884,0.9101,0.393177,-2.87655,17.4302,
TD40,0.060062,34.8583,3,0.5,0.308729,0.600056,0.916867,0.400505,-2.76733,16.9599,
TD41,0.060027,33.8881,3,0.5,0.300136,0.6,0.922933,0.407367,-2.66658,16.5222,
TD42,0.059995,32.9705,3,0.5,0.29201,0.599947,0.928367,0.413857,-2.57207,16.1059,
TD43,0.059964,32.1013,3,0.5,0.284311,0.599897,0.933333,0.420005,-2.48333,15.7095,
TD44,0.060135,33.6417,3,0.5,0.462574,0.600084,0.740133,0.288057,-2.86375,15.746,
TD45,0.059839,32.1285,3,0.5,0.441767,0.6,0.773233,0.302008,-2.75582,15.1566,
TD46,0.060097,54.8829,3,0.499967,0.48608,0.600088,0.701133,0.271763,-4.55192,25.2461,
TD47,0.060054,48.1209,3,0.499967,0.426191,0.599768,0.8,0.311895,-4.10732,22.6432,
TD48,0.059868,43.2301,3,0.5,0.382875,0.60007,0.8523,0.343543,-3.64079,20.6237,
TD49,0.05993,39.592,3,0.5,0.350653,0.599936,0.8835,0.367867,-3.26395,19.0593,
TD50,0.059861,39.1304,3,0.5,0.346566,0.600189,0.887167,0.371141,-3.21519,18.8579,
